"Reviews","Bewertungen"
"Show only reviews with 5 stars","Nur Bewertungen mit 5 Sternen anzeigen"
"Show only reviews with 4 stars","Nur Bewertungen mit 4 Sternen anzeigen"
"Show only reviews with 3 stars","Nur Bewertungen mit 3 Sternen anzeigen"
"Show only reviews with 2 stars","Nur Bewertungen mit 2 Sternen anzeigen"
"Show only reviews with 1 star","Nur Bewertungen mit 1 Stern anzeigen"
"Customer recommended this product","Kunden empfehlen das Produkt weiter"
"Show the latest reviews first","Zeige die neusten Bewertungen zuerst"
"Show the oldest reviews first","Zeige die ältesten Bewertungen zuerst"
"Show best reviews first","Zeige die besten Bewertungen zuerst"
"Show the worst reviews first","Zeige die schlechtesten Bewertungen zuerst"
"Show the best helpful reviews first","Zeige die hilfreichsten Bewertungen zuerst"
"Show the worst helpful reviews first","Zeige die nicht hilfreichsten Bewertungen zuerst"
"Show more reviews...","mehr Bewertungen..."
"Is the review helpful for you?","War die Bewertung für Sie hilfreich?"
"Report review?","Melden Sie diese Bewertung"
"Yes","Ja"
"No","Nein"
"Feedback %s report %s","Bewertung %s melden %s"
"ShowReviews","Zeige Bewertungen"
"Review for the product","Bewertung für das Produkt"
"Review for the shop","Bewertung für den Shop"
"not really ok","nicht ganz ok"
"hm ok","ganz ok"
"ok","ok"
"cool","cool"
"coolest","sehr cool"
"I recommend the product to a friend","Ich empfehle das Produkt einem Freund"
"I recommend the shop to a friend","Ich empfehle den Shop einem Freund"
"Send the review","Sende die Bewertung"
"Review the product","Produkt bewerten",
"Title of the review","Titel der Bewertung"
"Content of the review","Bewertung als Text"
"Thank you for the review","Danke für die Bewertung des Produktes"
"Can't send the review","Konnte die Bewertung leider nicht senden"
"Shop Review Title","Shop bewerten"
"Shop Review Hint","Geben Sie uns zu unserm Shop, unserer Lieferung und unseren Preisen Feedback. Bitte benutzen Sie unser %sFeedback-Formular%s."
"Maximum Stars text","Maximum Wert der Sterne %s"
"Minimum Stars text","Minimum Wert der Sterne %s"
"verified","Verifizierter Kauf"
"public","Öffentliche Bewertung"
"mobile","Bewertung über die App"
"Write a product review","Schreiben Sie eine Bewertung"
"Please fill in the fellowing text","Bitte geben Sie den folgenden Sicherheitstext ein"
"First product review for this product","Es gab bisher noch keine Produktberwertungen."
